has_bank_name,has_payee,has_amount,has_date,has_signature,amount_value,amount_suspicious,date_valid,date_future,text_quality,suspicious_chars,missing_fields_count,risk_score
0,1,1,1,1,39994.23573464041,0,1,0,0.8357294880762021,0,1,7.6284972947730125
1,1,1,1,1,9913.928466183836,0,1,0,0.5099866733930744,3,0,13.715963588339115
1,1,1,1,1,46362.100741835355,0,1,0,0.7443092106486402,0,0,2.136379329511179
1,1,1,0,1,46926.18829930892,0,1,0,0.9493791937847591,0,1,10.848266315183517
1,1,1,0,1,18284.817083185684,0,1,0,0.991811722642999,0,1,3.9620438045054285
1,1,1,0,1,32383.70263070322,0,1,0,0.8015591267153633,0,1,11.752971783362913
1,1,1,1,1,30617.9982973383,0,1,0,0.6608573930399855,8,0,18.474938313931656
1,1,1,1,1,7287.615987012986,0,1,0,0.5811582763130267,2,0,9.01626955829245
1,1,1,1,1,25246.41800855686,0,0,1,0.6034771428035737,3,0,21.99805440482166
1,1,1,0,0,35780.356666781096,0,0,1,0.639235578070138,1,1,41.14786676799076
1,1,1,1,0,28856.229854848738,0,1,0,0.6510322627815543,3,0,24.329909988551602
1,1,1,1,1,23868.268506989032,0,1,0,0.943728339347486,0,0,0.0
1,1,1,1,1,27377.603227979645,0,1,0,0.7349920808341108,0,0,0.0
1,1,1,1,1,24930.45943889741,0,1,0,0.8964432944449661,0,0,0.7876433037937414
0,1,1,1,1,9758.515871436526,0,1,0,0.7426445159271999,0,1,8.970887160959517
1,1,1,1,1,8143.68325964993,0,1,0,0.6298607902163884,9,0,17.86376458041544
1,1,1,1,1,4737.679219612674,0,1,0,0.9992919835120779,0,0,0.0
1,1,1,1,1,66.70853635080665,0,1,0,0.9778206880551622,0,0,2.7571009547194967
0,1,1,1,1,17535.867173681727,0,1,0,0.6886712824523338,2,1,13.420386174061656
1,1,1,1,1,37350.3894774556,0,1,0,0.7897185883086543,0,0,0.0
1,1,1,1,1,17162.042590495574,0,1,0,0.62449972035406,1,0,5.7847201723976704
1,1,1,1,1,48292.17044790488,0,1,0,0.538506506655896,5,0,7.171566793465893
1,1,1,1,0,39920.56530092717,0,1,0,0.9589941466234193,0,0,10.774854093527274
1,0,1,1,1,20251.957214426806,0,1,0,0.9617544963784176,0,1,8.295265538896466
1,1,1,0,0,6027.53083679272,0,1,0,0.5108846515090852,6,1,41.93140919493219
1,1,1,0,1,9054.925633036682,0,1,0,0.7944768936611377,0,1,9.703145065561031
0,1,1,1,1,43596.75918470082,0,1,0,0.5363786496138021,5,1,20.80207398899926
1,0,1,1,1,41370.318944022576,0,1,0,0.576372195447975,4,1,15.758798821970116
1,1,1,1,0,10177.967930385566,0,1,0,0.704406040129448,0,0,7.249937571117325
1,1,1,1,1,12892.65159114348,0,1,0,0.9771309292735076,0,0,2.829732640222841
1,0,1,1,0,34724.503893835405,0,1,0,0.8016249712682728,0,1,15.17680987217523
1,1,1,1,1,31541.21590443978,0,1,0,0.9320980682166654,0,0,0.0
1,1,1,1,1,49082.33812626062,0,1,0,0.5131281484167802,8,0,16.427770667092673
1,1,1,1,1,46479.8724009793,0,1,0,0.8111643819144103,0,0,1.1875807352628946
1,1,1,0,0,30714.878099196056,0,0,1,0.9562780630488945,0,1,29.069241154150323
1,1,1,1,1,29086.114298304645,0,1,0,0.511680933679242,0,0,9.63799247814204
1,1,1,1,1,3862.2195375711135,0,0,1,0.6124330870653205,4,0,24.73091102668228
1,1,1,1,1,39487.19033511176,0,0,1,0.8851497015872993,0,0,10.734822613024475
1,1,1,1,1,37266.93581038464,0,1,0,0.8206506910227074,0,0,3.2142920065340874
1,1,1,1,1,23842.75005890611,0,1,0,0.7588954059684716,0,0,4.241279927395606
1,1,1,0,1,5437.650709809204,0,1,0,0.7626542826402296,0,1,7.871928004252933
1,1,1,1,0,33937.964071370756,0,0,1,0.7778435375523116,0,0,20.88649728692542
1,1,1,1,1,9455.944521895228,0,1,0,0.8933578376566371,0,0,4.623575780698296
1,1,1,1,1,23676.750051560142,0,0,1,0.9232656259689048,0,0,12.10107720797907
1,1,1,1,1,26748.172418480357,0,1,0,0.8617860611662786,0,0,1.9005654931788492
1,1,1,1,1,27657.17979176455,0,1,0,0.5839125778696589,6,0,20.438507146528554
1,1,1,1,0,29847.471693993895,0,1,0,0.8237144822112887,0,0,13.785490910234465
1,1,1,1,1,22765.073282518337,0,1,0,0.840114641361551,0,0,2.084260197388489
0,1,1,1,1,15359.389045477166,0,1,0,0.7540150583472578,0,1,9.067015275807428
1,1,1,0,1,4428.32626058562,0,1,0,0.9033627243502683,0,1,10.313227065406073
1,1,1,1,1,5841.712712570948,0,1,0,0.5459472670382162,0,0,8.006153701739049
1,1,1,1,1,13449.393825668252,0,1,0,0.974419868193831,0,0,0.0
1,1,1,1,1,17744.07741007716,0,1,0,0.6126152496491482,6,0,21.04966419098937
1,1,1,1,1,39865.52703994566,0,1,0,0.705629683681221,0,0,0.0
1,1,1,1,1,10643.28626178191,0,1,0,0.5528993866025895,2,0,6.001865942047047
1,1,1,1,1,24388.18713326243,0,1,0,0.7727013493735698,0,0,3.7569423423891894
1,1,1,1,1,16650.653256386788,0,1,0,0.993102476475339,0,0,4.462206550786211
1,1,1,1,1,3316.8986883581,0,1,0,0.5370319643009099,5,0,8.698690501079835
1,1,1,1,1,7363.189607063381,0,1,0,0.6919860044622024,2,0,13.688583063865034
1,1,1,1,0,33330.61169713994,0,1,0,0.6220002956889241,9,0,32.26186559577172
1,1,1,1,1,20394.171856392313,0,1,0,0.5771869456260705,8,0,24.54913599173115
1,1,1,1,0,26861.538015245755,0,1,0,0.5607324347232685,5,0,21.743976419279743
1,1,1,1,1,8227.290299639584,0,0,1,0.9250719203241478,0,0,12.281089175223729
0,1,1,1,1,9600.16504939045,0,1,0,0.6379316259627077,9,1,31.648406486330593
